,Item Name,Serving Size (G),Calories, Protein (g), Total Fat (g),Total Carbs (g),Sodium (mg),Calories from Fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Fiber (g),Sugars (g),Weight Watchers,Category
164,Tostada,164,270,12,11.0,31,650,100,4.0,0.0,15,8,1,8,Specialties
165,Express Taco Salad w/ Chips,398,580,23,29.0,57,1370,260,10.0,1.0,55,9,6,16,Salads
166,Fiesta Taco Salad-Beef,457,780,26,42.0,74,1590,380,10.0,1.0,55,11,7,22,Salads
167,Fiesta Taco Salad-Chicken,457,730,32,35.0,71,1470,320,7.0,0.0,70,8,7,20,Salads
168,Fiesta Taco Salad-Steak,457,750,33,36.0,72,1410,330,8.0,0.5,60,9,7,20,Salads
169,Chicken Soft Taco,92,160,12,5.0,16,480,50,2.5,0.0,25,2,1,4,Tacos
170,Cool Ranch® Doritos® Locos Taco,78,160,8,10.0,13,370,90,3.5,0.0,25,3,1,5,Tacos
171,Cool Ranch® Doritos® Locos Taco Supreme,113,200,8,12.0,15,390,110,5.0,0.0,30,3,3,6,Tacos
172,Crispy Potato Soft Taco,98,250,6,12.0,29,490,110,3.0,0.0,10,3,1,7,Tacos
173,Crunchy Taco,78,170,8,10.0,12,310,90,3.5,0.0,25,3,1,5,Tacos
174,Crunchy Taco Supreme®,113,200,9,12.0,15,340,110,5.0,0.0,30,3,2,6,Tacos
175,DOUBLE DECKER® Taco Supreme®,184,350,14,16.0,39,730,140,6.0,0.0,30,7,3,10,Tacos
176,Double Decker® Taco,149,320,14,14.0,36,710,120,5.0,0.0,25,7,2,9,Tacos
177,Fiery Doritos® Locos Taco,78,170,8,10.0,12,370,90,3.5,0.0,25,3,1,5,Tacos
178,Fiery Doritos® Locos Taco Supreme,113,200,9,12.0,15,390,110,5.0,0.0,30,3,2,6,Tacos
179,Fresco Chicken Soft Taco,106,140,10,3.5,16,470,30,1.0,0.0,15,2,2,4,Tacos
180,Fresco Crunchy Taco,92,150,6,8.0,13,310,70,2.5,0.0,20,3,1,4,Tacos
181,Grilled Steak Soft Taco,112,200,13,9.0,17,450,80,3.0,0.0,30,2,2,5,Tacos
182,Nacho Cheese Doritos® Locos Taco,78,170,8,10.0,13,360,90,3.5,0.0,25,3,1,5,Tacos
183,Nacho Cheese Doritos® Locos Taco Supreme,113,200,9,12.0,15,390,100,5.0,0.0,30,3,2,6,Tacos
184,Soft Taco Supreme® – Beef,128,220,10,11.0,20,520,100,5.0,0.0,30,3,3,6,Tacos
185,Soft Taco-Beef,92,190,9,9.0,18,500,80,4.0,0.0,25,3,1,5,Tacos
186,Bean Burrito,190,380,15,11.0,56,1050,100,4.0,0.0,5,9,3,11,Limited time offerings
187,Beefy 5-Layer Burrito,230,520,19,21.0,65,1280,190,8.0,0.0,30,8,5,14,Limited time offerings
188,Caramel Apple Empanada,85,310,3,15.0,39,310,140,2.5,0.0,0,2,13,8,Limited time offerings
189,Cheese Roll-Up,57,180,9,9.0,16,430,80,5.0,0.0,20,2,1,5,Limited time offerings
190,Cheesy Nachos,82,290,4,16.0,31,340,150,1.5,0.0,0,3,2,8,Limited time offerings
191,Cinnamon Twists,35,170,1,7.0,26,200,60,0.0,0.0,0,1,10,5,Limited time offerings
192,Crispy Potato Soft Taco,98,250,6,12.0,29,490,110,3.0,0.0,10,3,1,7,Limited time offerings
193,Crunchy Taco,78,170,8,10.0,12,310,90,3.5,0.0,25,3,1,5,Limited time offerings
194,Soft Taco-Beef,92,190,9,9.0,18,500,80,4.0,0.0,25,3,1,5,Limited time offerings
