"";"Product_Name";"Food_Category";"Calories";"Total_Fat.g";"Sodium.mg";"Total_Carbs.g";"Sugars.g";"Protein.g";"Calories_FGC";"Fat_FGC";"Sodium_FGC";"Carboidrati_FGC";"Zucchero_FGC";"Proteine_FGC"
"NA.149";"Seattle’s Best Coffee®- Regular- 20 fl oz";"Coffee & Tea";1;0;1;0;0;0;0;0;0,1;0;0;0
"NA.150";"Seattle’s Best Coffee® Iced Coffee -SMALL";"Coffee & Tea";67;2;91;14;12;2;2,8;3,2;6,1;6,2;32;3,6
"NA.151";"Seattle’s Best Coffee® Iced Coffee – MED";"Coffee & Tea";5;3;38;18;16;3;0,2;4,8;2,5;8;42,7;5,4
"NA.152";"Seattle’s Best Coffee® Iced Coffee -LARGE";"Coffee & Tea";7;4;40;23;20;4;0,3;6,5;2,7;10,2;53,3;7,1
"NA.153";"Seattle’s Best Coffee® Iced Coffee -SMALL- MOCHA";"Coffee & Tea";11;3;91;37;33;2;0,5;4,8;6,1;16,4;88;3,6
"NA.154";"Seattle’s Best Coffee® Iced Coffee – MED- MOCHA";"Coffee & Tea";20;4;38;54;48;3;0,8;6,5;2,5;24;128;5,4
"NA.155";"Seattle’s Best Coffee® Iced Coffee -LARGE- MOCHA";"Coffee & Tea";28;3;40;71;62;4;1,2;4,8;2,7;31,6;165,3;7,1
"NA.156";"Seattle’s Best Coffee® Iced Coffee -SMALL- VANILLA";"Coffee & Tea";9;2;91;34;32;2;0,4;3,2;6,1;15,1;85,3;3,6
"NA.157";"Seattle’s Best Coffee® Iced Coffee – MED-VANILLA";"Coffee & Tea";16;3;38;49;46;3;0,7;4,8;2,5;21,8;122,7;5,4
"NA.158";"Seattle’s Best Coffee® Iced Coffee -LARGE- VANILLA";"Coffee & Tea";24;4;41;63;60;4;1;6,5;2,7;28;160;7,1
"NA.159";"Seattle’s Best Coffee® Iced Coffee -SMALL- CARAMEL";"Coffee & Tea";10;4;42;32;23;3;0,4;6,5;2,8;14,2;61,3;5,4
"NA.160";"Seattle’s Best Coffee® Iced Coffee – MED- CARAMEL";"Coffee & Tea";14;4;44;41;28;3;0,6;6,5;2,9;18,2;74,7;5,4
"NA.161";"Seattle’s Best Coffee® Iced Coffee -LARGE- CARAMEL";"Coffee & Tea";20;5;50;50;34;4;0,8;8,1;3,3;22,2;90,7;7,1
