,Componenti,Valori nutrizionali,Prodotto,Categoria,Fast_Food
206,Cholesterol (mg),70,XXL Grilled Stuft Burrito – Beef,Beef & Pork,TacoBell
207,Fiber (g),13,XXL Grilled Stuft Burrito – Beef,Beef & Pork,TacoBell
208,Sugars (g),7,XXL Grilled Stuft Burrito – Beef,Beef & Pork,TacoBell
209,Calories,830,XXL Grilled Stuft Burrito – Chicken,Chicken & Fish,TacoBell
210, Protein (g),38,XXL Grilled Stuft Burrito – Chicken,Chicken & Fish,TacoBell
211, Total Fat (g),35.0,XXL Grilled Stuft Burrito – Chicken,Chicken & Fish,TacoBell
212,Total Carbs (g),90,XXL Grilled Stuft Burrito – Chicken,Chicken & Fish,TacoBell
213,Sodium (mg),2080,XXL Grilled Stuft Burrito – Chicken,Chicken & Fish,TacoBell
214,Calories from Fat,310,XXL Grilled Stuft Burrito – Chicken,Chicken & Fish,TacoBell
215,Saturated Fat (g),11.0,XXL Grilled Stuft Burrito – Chicken,Chicken & Fish,TacoBell
216,Trans Fat (g),0.0,XXL Grilled Stuft Burrito – Chicken,Chicken & Fish,TacoBell
217,Cholesterol (mg),85,XXL Grilled Stuft Burrito – Chicken,Chicken & Fish,TacoBell
218,Fiber (g),10,XXL Grilled Stuft Burrito – Chicken,Chicken & Fish,TacoBell
219,Sugars (g),7,XXL Grilled Stuft Burrito – Chicken,Chicken & Fish,TacoBell
220,Calories,840,XXL Grilled Stuft Burrito – Steak,Beef & Pork,TacoBell
221, Protein (g),39,XXL Grilled Stuft Burrito – Steak,Beef & Pork,TacoBell
222, Total Fat (g),36.0,XXL Grilled Stuft Burrito – Steak,Beef & Pork,TacoBell
223,Total Carbs (g),91,XXL Grilled Stuft Burrito – Steak,Beef & Pork,TacoBell
224,Sodium (mg),2030,XXL Grilled Stuft Burrito – Steak,Beef & Pork,TacoBell
225,Calories from Fat,320,XXL Grilled Stuft Burrito – Steak,Beef & Pork,TacoBell
226,Saturated Fat (g),12.0,XXL Grilled Stuft Burrito – Steak,Beef & Pork,TacoBell
227,Trans Fat (g),0.5,XXL Grilled Stuft Burrito – Steak,Beef & Pork,TacoBell
228,Cholesterol (mg),75,XXL Grilled Stuft Burrito – Steak,Beef & Pork,TacoBell
229,Fiber (g),10,XXL Grilled Stuft Burrito – Steak,Beef & Pork,TacoBell
230,Sugars (g),7,XXL Grilled Stuft Burrito – Steak,Beef & Pork,TacoBell
231,Calories,530,Cantina Bowl – Chicken,Chicken & Fish,TacoBell
232, Protein (g),26,Cantina Bowl – Chicken,Chicken & Fish,TacoBell
233, Total Fat (g),21.0,Cantina Bowl – Chicken,Chicken & Fish,TacoBell
234,Total Carbs (g),59,Cantina Bowl – Chicken,Chicken & Fish,TacoBell
235,Sodium (mg),1450,Cantina Bowl – Chicken,Chicken & Fish,TacoBell
236,Calories from Fat,190,Cantina Bowl – Chicken,Chicken & Fish,TacoBell
237,Saturated Fat (g),3.5,Cantina Bowl – Chicken,Chicken & Fish,TacoBell
238,Trans Fat (g),0.0,Cantina Bowl – Chicken,Chicken & Fish,TacoBell
239,Cholesterol (mg),60,Cantina Bowl – Chicken,Chicken & Fish,TacoBell
240,Fiber (g),9,Cantina Bowl – Chicken,Chicken & Fish,TacoBell
241,Sugars (g),4,Cantina Bowl – Chicken,Chicken & Fish,TacoBell
242,Calories,550,Cantina Bowl – Steak,Beef & Pork,TacoBell
243, Protein (g),26,Cantina Bowl – Steak,Beef & Pork,TacoBell
244, Total Fat (g),23.0,Cantina Bowl – Steak,Beef & Pork,TacoBell
245,Total Carbs (g),60,Cantina Bowl – Steak,Beef & Pork,TacoBell
246,Sodium (mg),1390,Cantina Bowl – Steak,Beef & Pork,TacoBell
247,Calories from Fat,200,Cantina Bowl – Steak,Beef & Pork,TacoBell
248,Saturated Fat (g),4.0,Cantina Bowl – Steak,Beef & Pork,TacoBell
249,Trans Fat (g),0.0,Cantina Bowl – Steak,Beef & Pork,TacoBell
250,Cholesterol (mg),50,Cantina Bowl – Steak,Beef & Pork,TacoBell
251,Fiber (g),9,Cantina Bowl – Steak,Beef & Pork,TacoBell
252,Sugars (g),4,Cantina Bowl – Steak,Beef & Pork,TacoBell
253,Calories,960,Cantina Double Steak Quesadilla,Beef & Pork,TacoBell
254, Protein (g),43,Cantina Double Steak Quesadilla,Beef & Pork,TacoBell
255, Total Fat (g),45.0,Cantina Double Steak Quesadilla,Beef & Pork,TacoBell
256,Total Carbs (g),97,Cantina Double Steak Quesadilla,Beef & Pork,TacoBell
